"","county","fips_code","total","businesses","difference"
"1","HANCOCK","23009",907,119,788
"2","WASHINGTON","23029",717,39,678
"3","KNOX","23013",665,124,541
"4","LINCOLN","23015",209,69,140
"5","CUMBERLAND","23005",169,48,121
"6","YORK","23031",66,4,62
"7","SAGADAHOC","23023",37,6,31
"8","WALDO","23027",21,0,21
"9","ANDROSCOGGIN","23001",8,0,8
"10","PENOBSCOT","23019",6,0,6
"11","KENNEBEC","23011",4,0,4
"12","OXFORD","23017",3,0,3
"13","FRANKLIN","23007",2,0,2
"14","PISCATAQUIS","23021",1,0,1
